Nodo,Tiempo,Precio_Sombra
1,1,2500.0
1,2,2500.0
1,3,2500.0
1,4,2500.0
1,5,2500.0
1,6,2500.0
2,1,3000.0000000000005
2,2,2999.999999999999
2,3,2999.999999999999
2,4,3000.0
2,5,2999.999999999999
2,6,2999.999999999999
3,1,2500.0000000000005
3,2,2500.0000000000005
3,3,2999.9999999999995
3,4,2999.9999999999995
3,5,2500.0000000000005
3,6,2500.0000000000005
4,1,3000.000000000001
4,2,3000.0
4,3,3000.0
4,4,3000.0000000000005
4,5,3000.0
4,6,3000.0
5,1,3000.0
5,2,2999.999999999999
5,3,2999.999999999999
5,4,3000.0
5,5,2999.999999999999
5,6,2999.999999999999
6,1,2500.000000000001
6,2,2500.000000000001
6,3,3000.0
6,4,3000.0
6,5,2500.000000000001
6,6,2500.000000000001
7,1,3000.000000000001
7,2,3000.0
7,3,3000.0
7,4,3000.0000000000005
7,5,3000.0
7,6,3000.0
8,1,3000.0
8,2,2999.999999999999
8,3,2999.999999999999
8,4,3000.0
8,5,2999.999999999999
8,6,2999.999999999999
9,1,2500.000000000001
9,2,2500.000000000001
9,3,3000.0
9,4,3000.0
9,5,2500.000000000001
9,6,2500.000000000001
